,,plant_ge,Arnica,Braya,Cassiope,Cerastium,Cerastium,Draba,Draba,Draba,Dryas,Epilobium,Erigeon,Erysimum,Lesquerella,Lychnis,Papaver,Pedicularis,Pedicularis,Pedicularis,Polygonum,Potentilla,Salix,Saxifraga,Saxifraga,Saxifraga,Saxifraga,Saxifraga,Silene,Stellaria,Taraxacum
,,plant_sp,alpina,humilis,tetragona,alpinum,arcticum,bellii,cinerea,oblongata,integrifolia,latifolium,compositus,pallasii,arctica,triflora,radicatum,arctica,capitata,hirsuta,viviparum,sp.,arctica,cernua,flagellaris,hirculus,oppositifolia,tricuspidata,acaulis,sp.,arctogenum
Spilogona,melanosoma,68,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Spilogona,sanctipauli,69,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Spilogona,tundrae,70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pegomyia,sp.,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Peleteriopsis,aenea,72,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Petinarctia,stylata,73,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Boreellus,atriceps,74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Protophormia,terraenovae,75,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Scatophaga,nigripalpis,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Amauronematus,sp.,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Amauronematus,amentorum,78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ichneumonidae,,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cryptus,arcticus,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Hyposoter,luctus,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Braconidae,,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Chalcidae,,83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Megabombus,polaris,84,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0
Megabombus,hyperboreus,85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apis,mellifera,86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
